,N Most Traded,Momentum
2018-01-01 00:00:00,801.1140393420097,809.5122032854553
2018-01-02 00:00:00,864.1296785892688,821.9615287401789
2018-01-03 00:00:00,919.9484121941136,828.3548693902229
2018-01-04 00:00:00,928.6752406754924,856.4499264119547
2018-01-05 00:00:00,950.4121330727395,847.9213012385666
2018-01-06 00:00:00,1000.6232346474311,842.81777384706
2018-01-07 00:00:00,1021.5453848840604,836.2485975507502
2018-01-08 00:00:00,927.1958608109152,814.9759720784475
2018-01-09 00:00:00,910.8874552630494,829.0444281926735
2018-01-10 00:00:00,900.1664806399858,815.7945878894983
2018-01-11 00:00:00,849.5337481535649,778.1948948783387
2018-01-12 00:00:00,888.5578834395409,786.633191385036
2018-01-13 00:00:00,924.7211049834003,789.7873213544494
2018-01-14 00:00:00,886.5269788747605,772.1002174398155
2018-01-15 00:00:00,853.8185423681992,753.9168572436961
2018-01-16 00:00:00,714.9484752605562,729.5856943823333
2018-01-17 00:00:00,717.1601929878578,729.0320216768287
2018-01-18 00:00:00,761.8872104508664,739.3943790003074
2018-01-19 00:00:00,757.1460246026825,739.7962376278643
2018-01-20 00:00:00,807.1540881468262,755.4084236813311
2018-01-21 00:00:00,739.8775984336984,711.621369229112
2018-01-22 00:00:00,715.0585747879935,705.7362168479929
2018-01-23 00:00:00,707.9227068479989,705.7367726718915
2018-01-24 00:00:00,727.5309411922992,769.4730760798784
2018-01-25 00:00:00,721.594345433747,770.4995431737086
2018-01-26 00:00:00,707.7289866664385,762.5095794697007
2018-01-27 00:00:00,720.1180082021094,755.9340859554329
2018-01-28 00:00:00,773.5432699741249,753.7913151536299
2018-01-29 00:00:00,742.1346805320792,743.2906683507921
2018-01-30 00:00:00,677.0416550807942,721.0260956111971
2018-01-31 00:00:00,686.3210251537062,721.5700999166202
2018-02-01 00:00:00,620.4515248682067,705.4892853167094
2018-02-02 00:00:00,582.3055856741431,702.2634703888825
2018-02-03 00:00:00,624.9803200017163,704.1932356025275
2018-02-04 00:00:00,572.887794005353,696.7082238528436
2018-02-05 00:00:00,499.2830956388971,680.2670414210421
2018-02-06 00:00:00,552.0299602351048,682.149073109046
2018-02-07 00:00:00,533.0094702968362,679.9613391705728
2018-02-08 00:00:00,573.1079844904422,694.4629200551534
2018-02-09 00:00:00,619.3531423502307,709.1684888329007
2018-02-10 00:00:00,623.4132056840338,700.2294106459847
2018-02-11 00:00:00,596.0721491309474,674.8213632753478
2018-02-12 00:00:00,634.9486448201558,680.4687683826515
2018-02-13 00:00:00,619.1012346312604,682.8426867133987
2018-02-14 00:00:00,698.9574152634291,690.4133921639932
2018-02-15 00:00:00,720.0745456177776,693.6650257827818
2018-02-16 00:00:00,723.5610382139529,697.9863206600897
2018-02-17 00:00:00,748.9010288292026,703.8768341083176
2018-02-18 00:00:00,714.3782192445101,699.6948204198235
2018-02-19 00:00:00,733.8345900229077,709.2139936130478
2018-02-20 00:00:00,728.022364303854,686.5075848751934
2018-02-21 00:00:00,689.4920330125177,675.5042744511146
2018-02-22 00:00:00,653.3990253981891,675.8718781824124
2018-02-23 00:00:00,682.4795194939425,699.4699507226381
2018-02-24 00:00:00,666.4457637204284,708.2706051875342
2018-02-25 00:00:00,670.290159833568,691.3674175250559
2018-02-26 00:00:00,686.0073582662122,675.1859930217571
2018-02-27 00:00:00,688.2224844513248,671.8432308356587
2018-02-28 00:00:00,665.2634046522973,641.0006795059761
2018-03-01 00:00:00,683.1787215616168,659.2718208003494
2018-03-02 00:00:00,681.5184101027018,655.6606125999012
2018-03-03 00:00:00,685.1142847796859,663.8428193196054
2018-03-04 00:00:00,703.2574791136183,657.9316096840314
2018-03-05 00:00:00,693.8821913451601,657.2394004298512
2018-03-06 00:00:00,663.769755773457,649.4871095065522
2018-03-07 00:00:00,628.8840530391897,637.5452276680572
2018-03-08 00:00:00,601.1937099891487,634.4574130410489
2018-03-09 00:00:00,614.8402652015793,633.0528857692207
2018-03-10 00:00:00,588.0855520022682,632.463424512599
2018-03-11 00:00:00,616.136629540311,642.2118418123697
2018-03-12 00:00:00,595.6986450193856,634.2621523812345
2018-03-13 00:00:00,590.4097214799261,644.008231785018
2018-03-14 00:00:00,542.7996501125823,626.8665475000231
2018-03-15 00:00:00,544.0779615618967,627.0985395442096
2018-03-16 00:00:00,541.9517188944997,621.5192363517876
2018-03-17 00:00:00,511.7389466035585,608.672087433463
2018-03-18 00:00:00,517.3334895161131,608.3600282329724
2018-03-19 00:00:00,543.4935431859379,613.0812651181784
2018-03-20 00:00:00,547.3864574299378,615.7104610058075
2018-03-21 00:00:00,546.4033596414217,615.1500487947857
2018-03-22 00:00:00,531.2821884197207,613.5307645064134
2018-03-23 00:00:00,531.7387339871756,623.9239813602908
2018-03-24 00:00:00,523.1219425088744,627.4843156904997
2018-03-25 00:00:00,520.0344903589881,618.9336573372992
2018-03-26 00:00:00,496.1745193139843,608.9949606881498
2018-03-27 00:00:00,470.87297792010423,649.7902099269689
2018-03-28 00:00:00,468.52130103842234,636.8471347700587
2018-03-29 00:00:00,423.5927128769921,606.2288124662471
2018-03-30 00:00:00,424.8438610268533,612.5377879084223
2018-03-31 00:00:00,425.451468574399,606.2508583185615
2018-04-01 00:00:00,414.63575040223463,610.8049882253948
2018-04-02 00:00:00,424.6618640748271,617.3114276718212
2018-04-03 00:00:00,456.36710988897215,627.111647918217
2018-04-04 00:00:00,420.95158896084007,609.2526310832874
2018-04-05 00:00:00,420.70176947957634,611.647299327008
2018-04-06 00:00:00,408.06680430601875,612.8587413310099
2018-04-07 00:00:00,418.83901918399135,631.1897222806424
2018-04-08 00:00:00,426.43564207460366,625.1182450601752
2018-04-09 00:00:00,419.60853759150456,629.1775259099659
2018-04-10 00:00:00,423.17751302564955,631.1786153006316
2018-04-11 00:00:00,439.5754186078166,629.1099337475343
2018-04-12 00:00:00,486.3844752569842,643.9682282073211
2018-04-13 00:00:00,485.0803420816517,647.4463012653785
2018-04-14 00:00:00,487.8256363750439,649.4106802415873
2018-04-15 00:00:00,509.99431348409524,659.3303470391921
2018-04-16 00:00:00,496.8955477706233,656.1591193719139
2018-04-17 00:00:00,496.0592627507908,632.6470348665705
2018-04-18 00:00:00,516.6947265238178,650.006304535203
2018-04-19 00:00:00,543.5524016715049,665.5486304976772
2018-04-20 00:00:00,585.1123303138457,692.9644741326181
2018-04-21 00:00:00,572.4182007070295,668.3188250944858
2018-04-22 00:00:00,571.9425511040669,674.6390135579719
2018-04-23 00:00:00,582.751643110442,681.4460171249973
2018-04-24 00:00:00,623.5486339900058,695.5806630503338
2018-04-25 00:00:00,560.9448790513908,655.0272158470617
2018-04-26 00:00:00,590.16280740586,660.2187563718031
2018-04-27 00:00:00,572.838361554541,662.8650596838528
2018-04-28 00:00:00,595.4305921167967,676.5159436419895
2018-04-29 00:00:00,599.360094431024,693.706623174958
2018-04-30 00:00:00,585.0912287782262,670.6123434332583
2018-05-01 00:00:00,585.225045875116,677.3647637365061
2018-05-02 00:00:00,593.2699988473959,676.043730687049
2018-05-03 00:00:00,627.0501413950393,681.3384183187317
2018-05-04 00:00:00,634.7965450833836,676.7791714882683
2018-05-05 00:00:00,649.6150035429542,671.8122274081817
2018-05-06 00:00:00,634.0724436686706,663.8869338846666
2018-05-07 00:00:00,613.4470148836576,657.5025088201457
2018-05-08 00:00:00,605.4309210761066,653.1289105656539
2018-05-09 00:00:00,602.6097472466008,659.6039018041345
