,Market,N Most Traded,Momentum,Portfolio
2018-01-01 00:00:00,818.3916319232017,801.1140393420097,809.5122032854553,814.0000440737585
2018-01-02 00:00:00,846.2666990912898,864.1296785892688,821.9615287401789,840.7614459357544
2018-01-03 00:00:00,886.7154867407841,919.9484121941136,828.3548693902229,872.5305940809485
2018-01-04 00:00:00,916.6262780666368,928.6752406754924,856.4499264119547,899.7782688311178
2018-01-05 00:00:00,934.1065594365775,950.4121330727395,847.9213012385666,909.8815393407905
2018-01-06 00:00:00,985.9900563980343,1000.6232346474311,842.81777384706,944.5016894576818
2018-01-07 00:00:00,1004.9494979642456,1021.5453848840604,836.2485975507502,955.9988165321785
2018-01-08 00:00:00,977.3822434256023,927.1958608109152,814.9759720784475,923.641723759987
2018-01-09 00:00:00,986.2762946257928,910.8874552630494,829.0444281926735,931.5678507595827
2018-01-10 00:00:00,974.5382788555684,900.1664806399858,815.7945878894983,919.477991744189
2018-01-11 00:00:00,928.4710127765635,849.5337481535649,778.1948948783387,875.4944509447962
2018-01-12 00:00:00,979.1943508531962,888.5578834395409,786.633191385036,912.3623562713826
2018-01-13 00:00:00,1005.0673513747064,924.7211049834003,789.7873213544494,932.4487177294986
2018-01-14 00:00:00,973.714390017071,886.5269788747605,772.1002174398155,904.5113971296632
2018-01-15 00:00:00,949.8991046677809,853.8185423681992,753.9168572436961,881.4963742105972
2018-01-16 00:00:00,846.8243815360859,714.9484752605562,729.5856943823333,798.4651847624071
2018-01-17 00:00:00,864.9434418576855,717.1601929878578,729.0320216768287,809.3916909164457
2018-01-18 00:00:00,892.2898308808371,761.8872104508664,739.3943790003074,833.3809332736811
2018-01-19 00:00:00,905.7774448457158,757.1460246026825,739.7962376278643,841.119940656057
2018-01-20 00:00:00,952.2031759146206,807.1540881468262,755.4084236813311,878.6598414678542
2018-01-21 00:00:00,889.9175577338056,739.8775984336984,711.621369229112,821.4247052523867
2018-01-22 00:00:00,867.7827409796613,715.0585747879935,705.7362168479929,803.896367120994
2018-01-23 00:00:00,871.0026773799367,707.9227068479989,705.7367726718915,805.1149089143292
2018-01-24 00:00:00,908.4853244992346,727.5309411922992,769.4730760798784,848.6862116427342
2018-01-25 00:00:00,912.9607161103678,721.594345433747,770.4995431737086,851.085727161708
2018-01-26 00:00:00,911.6496806755272,707.7289866664385,762.5095794697007,846.5155809128703
2018-01-27 00:00:00,919.4073550898145,720.1180082021094,755.9340859554329,850.4364396607295
2018-01-28 00:00:00,936.3367060556827,773.5432699741249,753.7913151536299,865.293745176911
2018-01-29 00:00:00,914.5636955042746,742.1346805320792,743.2906683507921,845.9388858610104
2018-01-30 00:00:00,856.2605571518656,677.0416550807942,721.0260956111971,797.7683284825579
2018-01-31 00:00:00,872.2624484665807,686.3210251537062,721.5700999166202,808.460601570305
2018-02-01 00:00:00,811.5151745384262,620.4515248682067,705.4892853167094,760.6010428048892
2018-02-02 00:00:00,786.4093423892592,582.3055856741431,702.2634703888825,740.7552051176345
