,Momentum,N Most Traded
2020-01-01 00:00:00,0.9957971112320784,1.005095301649634
2020-01-02 00:00:00,1.0002762983731468,0.9789117852011905
2020-01-03 00:00:00,0.9857765315125591,1.0183378898260091
2020-01-04 00:00:00,0.97046309241935,1.0274418252982245
2020-01-05 00:00:00,0.9415543473301697,1.031361409800879
2020-01-06 00:00:00,0.9497889491384208,1.0909151674578612
2020-01-07 00:00:00,0.9448404834177485,1.0960046425523555
2020-01-08 00:00:00,0.9486766704929794,1.0821653735221377
2020-01-09 00:00:00,0.9419914615492718,1.067446164860191
2020-01-10 00:00:00,0.9621290526945386,1.10610539926755
2020-01-11 00:00:00,0.9633091778472961,1.1026759858128086
2020-01-12 00:00:00,0.9842496183930672,1.1240719330651312
2020-01-13 00:00:00,1.0061551114940472,1.111329943808178
2020-01-14 00:00:00,1.055577177990601,1.2252850140138514
2020-01-15 00:00:00,1.0794689078328525,1.220932081095087
2020-01-16 00:00:00,1.0605363145816202,1.2094598041054687
2020-01-17 00:00:00,1.060632741962028,1.25247373508404
2020-01-18 00:00:00,1.055439475413162,1.2558155158147875
2020-01-19 00:00:00,1.0383167596304972,1.2213449884298795
2020-01-20 00:00:00,1.0429985275931064,1.21583030196798
2020-01-21 00:00:00,1.0265138550524955,1.228159284149086
2020-01-22 00:00:00,1.0210372330484476,1.2259627040954673
2020-01-23 00:00:00,0.9895027928280361,1.183873899335862
2020-01-24 00:00:00,0.9938929583962312,1.1825955669528712
2020-01-25 00:00:00,0.988957608209695,1.1712678422620117
2020-01-26 00:00:00,0.9893905649273967,1.2090422943918195
2020-01-27 00:00:00,0.9981303990467464,1.2338224834788152
2020-01-28 00:00:00,0.98961768279874,1.2695923708470733
2020-01-29 00:00:00,0.9658904648816534,1.2615213643659822
2020-01-30 00:00:00,0.9686098872651372,1.3228188110539896
2020-01-31 00:00:00,0.9658113548337021,1.3058352572434482
2020-02-01 00:00:00,0.9783250453470101,1.3259993774040877
2020-02-02 00:00:00,1.0069729841905937,1.339577435516141
2020-02-03 00:00:00,1.0082614255001017,1.3418930301416854
2020-02-04 00:00:00,1.0919101120803236,1.3452798843723108
2020-02-05 00:00:00,1.0821814914216077,1.407247775775395
2020-02-06 00:00:00,1.0789569256572493,1.4285430265030494
2020-02-07 00:00:00,1.195589477975411,1.4454145250241661
2020-02-08 00:00:00,1.1727992303414967,1.4546145652692302
2020-02-09 00:00:00,1.170208270311853,1.477528370659695
2020-02-10 00:00:00,1.172226239347767,1.4438162668504706
2020-02-11 00:00:00,1.1718119818792165,1.4845785333921895
2020-02-12 00:00:00,1.216829710284724,1.5703654683056647
2020-02-13 00:00:00,1.18568618952834,1.5884777136864452
2020-02-14 00:00:00,1.1928264496347294,1.6292197232656291
2020-02-15 00:00:00,1.1792896465185274,1.5399484905990979
2020-02-16 00:00:00,1.1591767020605015,1.5190275827371418
2020-02-17 00:00:00,1.1391605316597562,1.5024764152057422
2020-02-18 00:00:00,1.4430476982445195,1.5621683967678672
2020-02-19 00:00:00,1.408416731013839,1.4768707170693005
2020-02-20 00:00:00,1.2105260413412564,1.4626045420337843
2020-02-21 00:00:00,1.2421538168085244,1.4926180404896137
2020-02-22 00:00:00,1.2798281499458093,1.4957199389456954
2020-02-23 00:00:00,1.2648477318565878,1.5406137494162926
2020-02-24 00:00:00,1.2499177207229084,1.494058461705934
2020-02-25 00:00:00,1.200992680504733,1.429460817586107
2020-02-26 00:00:00,1.1569002315980614,1.322056136094894
2020-02-27 00:00:00,1.1474093188284291,1.3304066354708528
2020-02-28 00:00:00,1.1272231045004155,1.318204136034702
2020-02-29 00:00:00,1.1251376063722167,1.2993254377979164
2020-03-01 00:00:00,1.1262038813851931,1.2904104358596376
2020-03-02 00:00:00,1.136890573897541,1.336620994260214
2020-03-03 00:00:00,1.131428970711899,1.3248704356135852
2020-03-04 00:00:00,1.1309859488188696,1.320304973873298
2020-03-05 00:00:00,1.1260325614379203,1.3491114100423036
2020-03-06 00:00:00,1.1219303257680697,1.3754274660693013
2020-03-07 00:00:00,1.114413224237227,1.3443628963409642
2020-03-08 00:00:00,1.0851025319437326,1.207362993548982
2020-03-09 00:00:00,1.0803543115281407,1.196237960569925
2020-03-10 00:00:00,1.0724933029913484,1.1989277495562094
2020-03-11 00:00:00,1.06499899313024,1.1780071621759207
2020-03-12 00:00:00,1.0222814968590346,0.840841746987877
2020-03-13 00:00:00,1.0181554101263623,0.9426297718123545
2020-03-14 00:00:00,1.008397913262208,0.8871044391166438
2020-03-15 00:00:00,1.0039538408775321,0.9149509346378633
2020-03-16 00:00:00,0.9741802329095033,0.8467213048459655
2020-03-17 00:00:00,0.9857009732751096,0.8631149889646109
2020-03-18 00:00:00,1.084258692442569,0.8634833181027013
2020-03-19 00:00:00,1.0324124872519047,0.9868394599285354
2020-03-20 00:00:00,1.0197063393416113,0.9658730527020216
2020-03-21 00:00:00,1.0163838794989022,0.9689018279540184
2020-03-22 00:00:00,0.9770088829826823,0.9200818736059179
2020-03-23 00:00:00,1.1161634308128614,0.9804976951396707
2020-03-24 00:00:00,1.1176804655849075,1.0112974086101503
2020-03-25 00:00:00,1.0971865529434275,0.9980979592681894
2020-03-26 00:00:00,1.1289611374629773,1.023985396027242
2020-03-27 00:00:00,1.124841756358959,1.008001865302961
2020-03-28 00:00:00,1.1154710106336778,0.9930556442405961
2020-03-29 00:00:00,1.1009422002339133,0.9537453079255179
2020-03-30 00:00:00,1.1116432295565366,1.0010304156735557
2020-03-31 00:00:00,1.1425784583836651,1.0052489979861294
